,5m-7.5m,7.5m-10m,10m-20m,20m+,prices
2020-09-25 23:00:00,4.0,1.0,0.0,1.0,10690.53
2020-09-26 00:00:00,7.0,0.0,0.0,4.0,10658.37
2020-09-26 01:00:00,6.0,0.0,0.0,1.0,10694.0
2020-09-26 02:00:00,4.0,1.0,0.0,2.0,10715.14
2020-09-26 03:00:00,8.0,0.0,0.0,6.0,10712.53
2020-09-26 04:00:00,4.0,0.0,0.0,3.0,10741.31
2020-09-26 05:00:00,0.0,0.0,0.0,1.0,10729.15
2020-09-26 06:00:00,7.0,0.0,0.0,4.0,10739.58
2020-09-26 07:00:00,6.0,0.0,0.0,2.0,10712.64
2020-09-26 08:00:00,5.0,0.0,1.0,2.0,10692.81
2020-09-26 09:00:00,6.0,1.0,0.0,8.0,10697.77
2020-09-26 10:00:00,5.0,2.0,0.0,5.0,10727.07
2020-09-26 11:00:00,8.0,1.0,0.0,2.0,10710.19
2020-09-26 12:00:00,7.0,1.0,1.0,1.0,10693.87
2020-09-26 13:00:00,13.0,4.0,3.0,6.0,10678.69
2020-09-26 14:00:00,7.0,1.0,0.0,4.0,10712.87
2020-09-26 15:00:00,6.0,0.0,1.0,5.0,10721.29
2020-09-26 16:00:00,3.0,1.0,1.0,6.0,10750.0
2020-09-26 17:00:00,4.0,2.0,2.0,4.0,10747.21
2020-09-26 18:00:00,5.0,0.0,0.0,2.0,10729.65
2020-09-26 19:00:00,7.0,0.0,0.0,3.0,10723.03
2020-09-26 20:00:00,6.0,1.0,0.0,1.0,10719.99
2020-09-26 21:00:00,7.0,0.0,0.0,5.0,10721.74
2020-09-26 22:00:00,8.0,0.0,1.0,2.0,10735.71
2020-09-26 23:00:00,4.0,0.0,0.0,7.0,10730.0
2020-09-27 00:00:00,3.0,0.0,0.0,1.0,10778.6
2020-09-27 01:00:00,6.0,0.0,0.0,2.0,10775.99
2020-09-27 02:00:00,6.0,1.0,2.0,4.0,10783.61
2020-09-27 03:00:00,3.0,0.0,2.0,2.0,10786.75
2020-09-27 04:00:00,5.0,0.0,3.0,2.0,10788.0
2020-09-27 05:00:00,6.0,3.0,0.0,5.0,10787.0
2020-09-27 06:00:00,5.0,3.0,0.0,2.0,10668.49
2020-09-27 07:00:00,9.0,3.0,1.0,6.0,10674.23
2020-09-27 08:00:00,8.0,5.0,0.0,5.0,10649.55
2020-09-27 09:00:00,4.0,2.0,0.0,3.0,10634.35
2020-09-27 10:00:00,7.0,1.0,0.0,2.0,10660.22
2020-09-27 11:00:00,7.0,2.0,0.0,2.0,10625.01
2020-09-27 12:00:00,4.0,0.0,0.0,2.0,10666.81
2020-09-27 13:00:00,5.0,0.0,5.0,1.0,10677.64
2020-09-27 14:00:00,20.0,1.0,2.0,1.0,10675.9
2020-09-27 15:00:00,9.0,0.0,0.0,6.0,10756.69
2020-09-27 16:00:00,6.0,0.0,0.0,0.0,10722.53
2020-09-27 17:00:00,7.0,0.0,0.0,5.0,10728.32
2020-09-27 18:00:00,1.0,0.0,0.0,6.0,10716.73
2020-09-27 19:00:00,2.0,1.0,0.0,3.0,10736.64
2020-09-27 20:00:00,1.0,0.0,0.0,3.0,10725.83
2020-09-27 21:00:00,5.0,0.0,1.0,4.0,10722.67
2020-09-27 22:00:00,1.0,0.0,0.0,5.0,10757.35
2020-09-27 23:00:00,1.0,0.0,1.0,5.0,10778.2
2020-09-28 00:00:00,5.0,0.0,1.0,1.0,10892.17
2020-09-28 01:00:00,1.0,0.0,0.0,2.0,10926.0
2020-09-28 02:00:00,2.0,0.0,0.0,5.0,10911.7
2020-09-28 03:00:00,13.0,1.0,0.0,4.0,10887.21
2020-09-28 04:00:00,3.0,0.0,0.0,3.0,10896.85
2020-09-28 05:00:00,1.0,1.0,0.0,2.0,10882.19
2020-09-28 06:00:00,11.0,0.0,1.0,4.0,10869.25
2020-09-28 07:00:00,7.0,2.0,0.0,5.0,10853.37
2020-09-28 08:00:00,8.0,0.0,0.0,4.0,10858.32
2020-09-28 09:00:00,14.0,2.0,0.0,5.0,10855.91
2020-09-28 10:00:00,2.0,2.0,2.0,1.0,10877.12
2020-09-28 11:00:00,12.0,3.0,2.0,3.0,10880.0
2020-09-28 12:00:00,4.0,3.0,0.0,2.0,10905.59
2020-09-28 13:00:00,4.0,1.0,5.0,0.0,10888.01
2020-09-28 14:00:00,11.0,1.0,0.0,2.0,10862.26
2020-09-28 15:00:00,6.0,2.0,1.0,5.0,10900.59
2020-09-28 16:00:00,4.0,0.0,0.0,4.0,10891.47
2020-09-28 17:00:00,10.0,1.0,3.0,2.0,10894.08
2020-09-28 18:00:00,15.0,0.0,3.0,4.0,10872.42
2020-09-28 19:00:00,8.0,2.0,2.0,5.0,10869.07
2020-09-28 20:00:00,16.0,0.0,2.0,5.0,10867.45
2020-09-28 21:00:00,8.0,0.0,3.0,4.0,10888.28
2020-09-28 22:00:00,6.0,1.0,1.0,4.0,10866.28
2020-09-28 23:00:00,3.0,0.0,0.0,1.0,10695.55
2020-09-29 00:00:00,10.0,1.0,2.0,7.0,10706.54
2020-09-29 01:00:00,15.0,1.0,1.0,6.0,10677.13
2020-09-29 02:00:00,1.0,0.0,1.0,3.0,10682.47
2020-09-29 03:00:00,7.0,0.0,0.0,5.0,10685.8
2020-09-29 04:00:00,3.0,0.0,0.0,2.0,10687.43
2020-09-29 05:00:00,7.0,0.0,0.0,2.0,10673.67
2020-09-29 06:00:00,8.0,0.0,0.0,4.0,10739.29
2020-09-29 07:00:00,9.0,1.0,1.0,1.0,10723.37
