,Profits(All),Losses(All),prices
2020-09-25 23:00:00,211929.90274413247,419502.03128898365,10690.53
2020-09-26 00:00:00,1632420.364584847,1255182.8739271641,10658.37
2020-09-26 01:00:00,1383159.299918189,200781.8844680403,10694.0
2020-09-26 02:00:00,1382585.0172185714,391824.7201912729,10715.14
2020-09-26 03:00:00,1097398.5312668146,400073.33050303895,10712.53
2020-09-26 04:00:00,1426259.0238952935,149764.08918397597,10741.31
2020-09-26 05:00:00,379883.77408039523,373570.7231732358,10729.15
2020-09-26 06:00:00,1197729.677050645,183105.09201821062,10739.58
2020-09-26 07:00:00,1618706.5549048972,935379.4637752118,10712.64
2020-09-26 08:00:00,715586.6130338598,917536.8855058004,10692.81
2020-09-26 09:00:00,1576806.6924961917,313475.9646777674,10697.77
2020-09-26 10:00:00,10170426.936129,2955784.2538003204,10727.07
2020-09-26 11:00:00,1039387.6037890238,665251.1517996477,10710.19
2020-09-26 12:00:00,706396.17973495,1411785.2318213652,10693.87
2020-09-26 13:00:00,5124935.490405621,1195139.7064270596,10678.69
2020-09-26 14:00:00,1760692.4970354,186854.32572623662,10712.87
2020-09-26 15:00:00,11535392.93689997,561408.5489120516,10721.29
2020-09-26 16:00:00,2221873.836236713,270079.66572449123,10750.0
2020-09-26 17:00:00,1554827.8041824633,416305.2094248728,10747.21
2020-09-26 18:00:00,717719.2086235067,625012.8780441589,10729.65
2020-09-26 19:00:00,1105040.604365487,497972.1482346246,10723.03
2020-09-26 20:00:00,342990.79862724245,224673.15558097573,10719.99
2020-09-26 21:00:00,974136.4770523987,412225.4255259909,10721.74
2020-09-26 22:00:00,1174910.9909838154,600287.2585946263,10735.71
2020-09-26 23:00:00,1638484.4778070543,214858.60943405714,10730.0
2020-09-27 00:00:00,2135153.3170255823,22080.09312554929,10778.6
2020-09-27 01:00:00,1364076.8407432165,124818.44116374491,10775.99
2020-09-27 02:00:00,1914399.4184740868,5606183.807089081,10783.61
2020-09-27 03:00:00,658470.544736201,35273.53904471501,10786.75
2020-09-27 04:00:00,1306201.8874708214,61596.13468621917,10788.0
2020-09-27 05:00:00,1073357.335524887,256207.8665781832,10787.0
2020-09-27 06:00:00,467098.035248629,3534153.6121356627,10668.49
2020-09-27 07:00:00,853482.0262725007,1073842.5458080678,10674.23
2020-09-27 08:00:00,1161170.2965199896,1337716.7282701146,10649.55
2020-09-27 09:00:00,479526.08966410346,1119071.4508182462,10634.35
2020-09-27 10:00:00,2903711.8430539453,624489.0726363146,10660.22
2020-09-27 11:00:00,588755.4794933564,1862052.20828398,10625.01
2020-09-27 12:00:00,17727383.577361524,301460.14717918885,10666.81
2020-09-27 13:00:00,1856954.8755272129,2675558.3473110506,10677.64
2020-09-27 14:00:00,3662823.17851749,1033378.510466348,10675.9
2020-09-27 15:00:00,3820742.856731439,1807584.6941441775,10756.69
2020-09-27 16:00:00,2003503.4545909802,456277.2919317921,10722.53
2020-09-27 17:00:00,1200323.0817838404,1136342.1956439263,10728.32
2020-09-27 18:00:00,605814.7467444437,535342.9602715287,10716.73
2020-09-27 19:00:00,1225505.3354212674,104705.2148198596,10736.64
2020-09-27 20:00:00,387315.7974726239,434155.1454938578,10725.83
2020-09-27 21:00:00,784326.6906839106,515670.2798058094,10722.67
2020-09-27 22:00:00,1318002.3180609888,313161.0974924186,10757.35
2020-09-27 23:00:00,1197853.1401138932,6075723.215122332,10778.2
2020-09-28 00:00:00,5370843.440107683,153908.2662009204,10892.17
2020-09-28 01:00:00,2349014.6534765107,76898.64335282489,10926.0
2020-09-28 02:00:00,1628374.6664913653,734366.8872279985,10911.7
2020-09-28 03:00:00,4031104.9990098877,2037244.5710971323,10887.21
2020-09-28 04:00:00,2221764.2688046535,222651.466194799,10896.85
2020-09-28 05:00:00,811016.7543142607,450037.70156080095,10882.19
2020-09-28 06:00:00,4199102.249595769,718741.9905009998,10869.25
2020-09-28 07:00:00,2277181.573985752,827270.2508455572,10853.37
2020-09-28 08:00:00,1116683.319454389,265526.43031216133,10858.32
