,Profits(>200D),Losses(>200D),prices
2020-05-01 00:00:00,828552.9470114887,107328.70608227972,8717.58
2020-05-01 01:00:00,57442.33627266649,32993.52773356191,8664.23
2020-05-01 02:00:00,219261.47496540996,198748.29942377415,8735.95
2020-05-01 03:00:00,176347.92191337634,329850.94131787634,8677.41
2020-05-01 04:00:00,252408.6073340128,231790.9310414168,8797.27
2020-05-01 05:00:00,400235.79370940296,112075.24096799629,8818.27
2020-05-01 06:00:00,282301.5933844775,52491.2322416605,8760.01
2020-05-01 07:00:00,74466.22789859709,3583203.396952128,8782.0
2020-05-01 08:00:00,708734.4105063078,119044.4837694365,8804.96
2020-05-01 09:00:00,85364.77066326147,19325.963911737694,8855.48
2020-05-01 10:00:00,264655.8490739919,111550.40849116656,8911.11
2020-05-01 11:00:00,655951.655754434,83513.43575272294,9014.55
2020-05-01 12:00:00,393081.83286298905,344162.87245021045,8889.99
2020-05-01 13:00:00,362276.40994077746,497523.0991633197,8798.22
2020-05-01 14:00:00,355480.6526310212,248624.93765294662,8832.42
2020-05-01 15:00:00,436769.02984639606,532939.3311532629,8731.31
2020-05-01 16:00:00,193767.19993072384,260263.44655315657,8737.64
2020-05-01 17:00:00,234525.29955121837,109348.02839354427,8759.12
2020-05-01 18:00:00,311340.8713618252,97052.49134140761,8740.01
2020-05-01 19:00:00,1168730.8877224335,189808.61982180033,8731.74
2020-05-01 20:00:00,57614.95627918199,422854.7114156782,8731.49
2020-05-01 21:00:00,160683.0402589746,98145.8386438917,8853.58
2020-05-01 22:00:00,362007.67577999,77447.71673911848,8848.85
2020-05-01 23:00:00,597409.0126002668,122374.7861964771,8829.42
2020-05-02 00:00:00,346556.8858362856,85151.66414753834,8839.39
2020-05-02 01:00:00,56437.37763209659,58316.16666298141,8803.25
2020-05-02 02:00:00,106536.31093824965,43546.18019961189,8820.03
2020-05-02 03:00:00,150174.86650213978,44581.897745282105,8845.0
2020-05-02 04:00:00,7629.451708602305,15828.693943722406,8829.82
2020-05-02 05:00:00,146860.34578940703,70511.17724274924,8825.74
2020-05-02 06:00:00,51100.45967981943,146079.05377127213,8829.87
2020-05-02 07:00:00,32811.154734081916,29009.101053271756,8807.2
2020-05-02 08:00:00,213490.55481731702,549835.7456842379,8780.32
2020-05-02 09:00:00,135528.6175073473,40522.452485563896,8824.1
2020-05-02 10:00:00,245234.58427956066,113428.26488901087,8830.84
2020-05-02 11:00:00,193122.2816000961,105835.11061475224,8850.0
2020-05-02 12:00:00,150325.47421594622,156105.61219501816,8869.86
2020-05-02 13:00:00,583435.3165599848,44580.71657612389,8907.54
2020-05-02 14:00:00,496703.4848398914,229696.89674613497,8931.4
2020-05-02 15:00:00,234712.15328308343,304656.61564961105,8948.01
2020-05-02 16:00:00,28902.414367202287,18234.694128156905,8990.96
2020-05-02 17:00:00,212656.7220246321,438663.82192024455,8979.99
2020-05-02 18:00:00,1134589.2142636564,362662.6347838431,8876.71
2020-05-02 19:00:00,123167.20864759736,70451.89471830051,8885.14
2020-05-02 20:00:00,89583.29413526088,92848.89504657021,8941.0
2020-05-02 21:00:00,123902.69386910628,308518.98544664076,8939.45
2020-05-02 22:00:00,123864.20508676233,41469.64179855202,8948.7
2020-05-02 23:00:00,119786.33333022919,47484.75862948281,8985.58
2020-05-03 00:00:00,180828.89685998796,82456.28371745457,9135.09
2020-05-03 01:00:00,159378.04363631146,243273.36824146222,9128.54
2020-05-03 02:00:00,1699109.938173244,123477.96932273416,9080.03
2020-05-03 03:00:00,245768.23859565807,202576.6156708315,9146.1
2020-05-03 04:00:00,3191867.1283241864,767896.9510134823,9115.1
2020-05-03 05:00:00,504477.0174462818,576177.7056212645,9099.99
2020-05-03 06:00:00,480878.91118171386,475002.87007233896,9011.39
2020-05-03 07:00:00,183882.47242088983,137771.96070956375,8996.67
2020-05-03 08:00:00,283197.6811156103,174031.25688069753,9040.09
2020-05-03 09:00:00,323061.4556773829,93552.56734930597,9113.46
2020-05-03 10:00:00,763071.0255415061,515878.69427397207,9046.57
2020-05-03 11:00:00,70666.71009791331,55446.59076917626,9047.92
2020-05-03 12:00:00,231937.0315477557,77938.86202710352,8964.65
2020-05-03 13:00:00,113670.2569574263,81834.60450142348,8932.7
2020-05-03 14:00:00,285586.3760350071,135673.79992028212,8778.93
2020-05-03 15:00:00,217715.61674016062,33840.3024767261,8822.4
2020-05-03 16:00:00,201388.30891147855,40014.73713577379,8859.74
2020-05-03 17:00:00,352039.7965341892,156672.11487608074,8823.27
2020-05-03 18:00:00,186284.7228156469,76662.78546586001,8854.65
2020-05-03 19:00:00,271248.4913108982,876337.9479057087,8877.96
2020-05-03 20:00:00,143246.88344941544,187736.82931633803,8849.48
2020-05-03 21:00:00,297429.14898628707,786190.274881637,8859.82
2020-05-03 22:00:00,70245.0615622814,18767.385831980602,8909.95
2020-05-03 23:00:00,625662.5674061448,201960.13318027597,8909.95
2020-05-04 00:00:00,185131.90196475183,20859.546963096192,8818.2
2020-05-04 01:00:00,743688.9870294521,55583.47680454657,8699.44
2020-05-04 02:00:00,54541.01978194341,794926.3725970758,8752.0
2020-05-04 03:00:00,222136.77790502683,258580.68455567094,8738.69
2020-05-04 04:00:00,250265.06044635395,6698.763479673302,8697.81
2020-05-04 05:00:00,376312.1843136609,235060.41262549904,8615.02
2020-05-04 06:00:00,105649.77067215697,149307.52418768394,8632.79
2020-05-04 07:00:00,604871.1498979989,69454.32602847755,8662.45
2020-05-04 08:00:00,333443.22157321783,90094.87145145262,8704.49
2020-05-04 09:00:00,261548.94878781732,135900.40074882557,8638.93
2020-05-04 10:00:00,639479.4380077968,6298162.391706037,8632.89
2020-05-04 11:00:00,413950.08765731717,55178.1636529785,8690.01
2020-05-04 12:00:00,313493.19136023836,171090.1485731232,8724.49
2020-05-04 13:00:00,163384.55196320626,129944.00313445894,8847.19
2020-05-04 14:00:00,555595.4385634195,186225.80000039417,8793.41
2020-05-04 15:00:00,350743.9201243173,115949.35692003103,8857.2
2020-05-04 16:00:00,46302.72038165221,10938.036944131598,8842.69
2020-05-04 17:00:00,343179.2588263769,303950.23687944317,8814.47
2020-05-04 18:00:00,278572.5750375768,390799.02047384845,8863.0
2020-05-04 19:00:00,214773.85732899347,45314.3133214077,8845.0
2020-05-04 20:00:00,89782.98229450476,26368.60780012721,8921.39
2020-05-04 21:00:00,104932.72356476643,50264.11535634878,8958.2
2020-05-04 22:00:00,251024.77205445842,199898.48702790824,8884.32
2020-05-04 23:00:00,52960.38493909889,118951.27571103408,8883.53
2020-05-05 00:00:00,88868.78038091547,387576.9385251802,8911.33
2020-05-05 01:00:00,1116931.6157535107,101040.77096308721,8896.47
2020-05-05 02:00:00,103770.69411622672,27143.54806070039,8867.95
2020-05-05 03:00:00,316604.4851321564,160343.11682270444,8863.28
2020-05-05 04:00:00,314186.83775740716,47664.55926032901,9057.32
2020-05-05 05:00:00,61998.67986182212,77032.39284165064,9019.77
2020-05-05 06:00:00,228172.93604016223,73882.56798091634,9036.77
2020-05-05 07:00:00,157743.7846016899,104812.40678981187,9021.08
2020-05-05 08:00:00,159217.9651861026,68512.93325130266,9039.67
2020-05-05 09:00:00,524835.4668558547,68159.96493861213,9008.14
2020-05-05 10:00:00,291330.9955726223,111098.76478678285,8854.86
2020-05-05 11:00:00,245703.27596343722,28248.518728257706,8857.05
2020-05-05 12:00:00,1076961.914688408,184068.7196079881,8880.37
2020-05-05 13:00:00,457213.1147974947,92464.02517984383,8925.99
2020-05-05 14:00:00,1717689.6502125042,225215.46169229466,8887.68
2020-05-05 15:00:00,63842.82052852021,63263.817485374224,8853.23
2020-05-05 16:00:00,172365.79575590248,43979.16733405123,8884.27
2020-05-05 17:00:00,332877.1569019648,377922.44562568556,8880.72
2020-05-05 18:00:00,207095.9013500298,285661.6952876816,8899.2
2020-05-05 19:00:00,1436721.404177959,444980.68371478544,8918.95
2020-05-05 20:00:00,266186.8070662157,742729.4180523037,8951.88
2020-05-05 21:00:00,989131.6695082041,461419.7815988268,8977.44
2020-05-05 22:00:00,649448.9284024193,134945.52258146947,8976.84
2020-05-05 23:00:00,231084.31079589526,175138.06100875506,9028.79
2020-05-06 00:00:00,232505.31084489397,147178.63186074613,8955.61
2020-05-06 01:00:00,55479.34455447518,75639.15732974763,8990.06
2020-05-06 02:00:00,137278.02273191756,98311.91935488579,8984.04
2020-05-06 03:00:00,86522.86487748112,78029.1504493953,8983.9
2020-05-06 04:00:00,49804539.69446482,19190943.89707237,9009.0
2020-05-06 05:00:00,467616.6765978567,134693.57851631969,9014.74
2020-05-06 06:00:00,452392.3627200293,49725.36575759399,9032.49
2020-05-06 07:00:00,257765.30344690275,66679.29304435028,9035.01
2020-05-06 08:00:00,152763.26167584647,278561.97770458367,9049.31
2020-05-06 09:00:00,90026.63309943979,500150.9231373318,9098.38
