,Volumes(>200D),Volumes(All),DollarVolumes(>200D),DollarVolumes(All),prices
2020-09-25 23:00:00,45.009655959999975,30515.030194790063,481177.07733005856,326221845.7483091,10690.53
2020-09-26 00:00:00,505.38546261000016,107629.54351050037,5386585.253118549,1147155497.6660118,10658.37
2020-09-26 01:00:00,17.165424980000004,41630.12496086973,183567.05473612004,445192556.3315409,10694.0
2020-09-26 02:00:00,39.34159278000001,59781.013123239216,421550.6744606893,640561924.9573455,10715.14
2020-09-26 03:00:00,135.78849067000002,156894.03347548028,1454638.2799570954,1680732040.4270868,10712.53
2020-09-26 04:00:00,36.73604105,84033.33452656008,394593.20509077545,902628096.4834851,10741.31
2020-09-26 05:00:00,17.58989876,31926.418534449997,188724.662280854,342543333.4188942,10729.15
2020-09-26 06:00:00,30.966552399999998,107873.83369933948,332567.76682399196,1158519666.920752,10739.58
2020-09-26 07:00:00,344.41309177000005,68906.66423848982,3689573.4634189727,738172287.5878156,10712.64
2020-09-26 08:00:00,51.294046949999995,64669.93665593988,548477.4981674295,691503345.3740004,10692.81
2020-09-26 09:00:00,133.70596975,195874.386381731,1430355.7120124574,2095419134.4028907,10697.77
2020-09-26 10:00:00,1491.9353192499989,126390.84890485971,16004094.605067087,1355803483.5618534,10727.07
2020-09-26 11:00:00,633.5518521300004,64750.227579939645,6785460.711164207,693487239.9243937,10710.19
2020-09-26 12:00:00,102.63144735,42637.84101037994,1097527.3558727447,455963528.84567183,10693.87
2020-09-26 13:00:00,644.8436670699995,179663.58475382946,6886085.619103734,1918571725.8748715,10678.69
2020-09-26 14:00:00,52.41062798,111310.30622471985,561468.2441681027,1192452840.2456148,10712.87
2020-09-26 15:00:00,1677.2613632999992,131669.6932688695,17982405.481734652,1411668965.746598,10721.29
2020-09-26 16:00:00,189.1599582000001,154728.43091174978,2033469.550650001,1663330632.30131,10750.0
2020-09-26 17:00:00,297.38472535000074,112713.9582998108,3196056.094128781,1211360579.7793095,10747.21
2020-09-26 18:00:00,148.40138593999998,62244.69574627993,1592294.9306511208,667863799.7140726,10729.65
2020-09-26 19:00:00,246.22017585000503,89079.37685305989,2640226.33224488,955200830.3766669,10723.03
2020-09-26 20:00:00,19.111575429999995,42337.62580053985,204875.89749384567,453858925.2055292,10719.99
2020-09-26 21:00:00,628.5531598900002,126739.94347271087,6739183.55651901,1358872721.529103,10721.74
2020-09-26 22:00:00,130.64301002000064,66196.79293559915,1402545.4691018206,710669571.8866413,10735.71
2020-09-26 23:00:00,59.888502009999804,147474.68811653962,642603.626567298,1582403403.4904702,10730.0
2020-09-27 00:00:00,101.52732499000004,32704.09216356998,1094322.4251372146,352504327.7942554,10778.6
2020-09-27 01:00:00,79.81715229999998,64527.07553283969,860108.8350132767,695343120.6711252,10775.99
2020-09-27 02:00:00,2120.7607378500024,91976.44045601031,22869456.700286668,991838063.0658374,10783.61
2020-09-27 03:00:00,13.846580890000013,59234.340653719664,149359.60641520767,638946024.0465106,10786.75
2020-09-27 04:00:00,33.38852846000002,62835.53334735973,360195.4450264803,677869733.7513169,10788.0
2020-09-27 05:00:00,140.29836840000002,128734.05834172935,1513398.4999308002,1388654287.3322344,10787.0
2020-09-27 06:00:00,98.32903476000004,59381.548255709866,1049022.3240467128,633511453.750558,10668.49
2020-09-27 07:00:00,89.87969725000002,143057.4678129296,959396.5607768677,1527028314.6528075,10674.23
2020-09-27 08:00:00,171.51179914000056,135624.5182596794,1826523.4805313926,1444340088.4323688,10649.55
2020-09-27 09:00:00,119.51968972999998,84895.38405143056,1271014.2124802256,902807227.3873308,10634.35
2020-09-27 10:00:00,539.2791195399998,64165.2246104896,5748834.0557026975,684015410.6972333,10660.22
2020-09-27 11:00:00,72.90620275999997,65231.339376609394,774629.1333870272,693083633.1898686,10625.01
2020-09-27 12:00:00,5059.405150630001,36694.96763831991,53967713.454791605,391418247.75410724,10666.81
2020-09-27 13:00:00,83.04056636000001,43984.65752627982,886677.2729881904,469652338.58890647,10677.64
2020-09-27 14:00:00,489.73044532,75521.44259409008,5228313.261191789,806259368.9902463,10675.9
2020-09-27 15:00:00,196.31297974999993,137750.32055467973,2111677.866147027,1481737495.6073182,10756.69
2020-09-27 16:00:00,265.36176758000056,19046.10215248005,2845349.513729584,204222401.7130319,10722.53
2020-09-27 17:00:00,150.774922,135122.4643335497,1617561.61119104,1449637036.558908,10728.32
2020-09-27 18:00:00,74.52537120000001,150113.21127644967,798668.2813001758,1608722754.6826663,10716.73
2020-09-27 19:00:00,91.76046900000006,82930.75425528953,985199.1218841604,890397653.3675117,10736.64
2020-09-27 20:00:00,30.378834499999996,60715.92286526995,325838.214445135,651228666.9459984,10725.83
2020-09-27 21:00:00,100.52846329,108952.18165531933,1077933.5374657845,1168258289.670043,10722.67
2020-09-27 22:00:00,108.87427025000002,122625.76929072966,1171198.6310738376,1319128319.2796304,10757.35
2020-09-27 23:00:00,6.696154,95260.05671122936,72172.4870428,1026731943.2449725,10778.2
2020-09-28 00:00:00,162.33856089000002,50374.61773280007,1768219.2027692315,548688900.030673,10892.17
2020-09-28 01:00:00,153.61495889000003,56198.56981823011,1678397.0408321403,614025573.8339822,10926.0
2020-09-28 02:00:00,65.93455167,125259.09590409021,719458.0474575391,1366789676.7766612,10911.7
2020-09-28 03:00:00,41.45464482,126161.84847928023,451325.42363075225,1373550538.3821049,10887.21
2020-09-28 04:00:00,120.28022433999999,91898.99202568024,1310675.5625993288,1001409531.2550339,10896.85
2020-09-28 05:00:00,14.379626509999994,57583.90305540963,156481.82781085683,626638973.9905481,10882.19
2020-09-28 06:00:00,131.12134852000003,125015.27156882951,1425190.71740101,1358822240.4995003,10869.25
2020-09-28 07:00:00,77.28312312999998,116315.40689606962,838782.3300854479,1262414147.7435951,10853.37
2020-09-28 08:00:00,28.531041720000005,112653.78936907944,309799.18092911044,1223230894.1820626,10858.32
2020-09-28 09:00:00,209.49958741,133554.49764833983,2274308.665960093,1449855606.5655887,10855.91
2020-09-28 10:00:00,187.00328971000002,55326.98147137002,2034057.2225704356,601798216.7018683,10877.12
2020-09-28 11:00:00,211.83880934,110218.00934751946,2304806.2456192,1199171941.7010117,10880.0
2020-09-28 12:00:00,81.14341388,72465.58927604964,884916.8029755893,790280005.7529943,10905.59
2020-09-28 13:00:00,51.35802953,29452.689357140065,559186.7391029353,320681176.2474346,10888.01
2020-09-28 14:00:00,435.73640685999993,92850.2751435796,4733082.142779103,1008563829.6810989,10862.26
2020-09-28 15:00:00,85.54260992999998,113856.76302926954,932464.9183768587,1241105892.5092251,10900.59
2020-09-28 16:00:00,5.59697641,83765.99296703968,60959.300660222696,912334799.4207237,10891.47
2020-09-28 17:00:00,71.19029588000001,70592.45494514988,775552.7785403904,769039851.5688583,10894.08
2020-09-28 18:00:00,4326.708665280001,113764.38089350007,47041793.82656358,1236894130.114108,10872.42
2020-09-28 19:00:00,324.12482594999994,140698.95822218037,3522935.421988366,1529266825.8439538,10869.07
2020-09-28 20:00:00,158.71580633000002,144541.66624972026,1724836.0895009588,1570799330.8855226,10867.45
2020-09-28 21:00:00,84.66054867,120316.99268631992,921807.7588725875,1310045105.1266036,10888.28
2020-09-28 22:00:00,515.1612323599999,106986.94084983961,5597886.195968821,1162550055.6177952,10866.28
2020-09-28 23:00:00,32.70188634,35452.66748687983,349764.660443787,379185777.7392975,10695.55
2020-09-29 00:00:00,12763.690369289994,166133.92383360985,136654961.4864181,1778719500.8814974,10706.54
2020-09-29 01:00:00,798.9944126399997,152182.53635281985,8530967.213030921,1624872724.368783,10677.13
2020-09-29 02:00:00,196.91156143000006,96080.22462170014,2103501.847629132,1026374117.114573,10682.47
2020-09-29 03:00:00,88.34334145999999,137362.02183505008,944019.278173268,1467823092.924978,10685.8
2020-09-29 04:00:00,9.145568019999999,62598.31171568968,97742.61802398859,669015074.5796133,10687.43
2020-09-29 05:00:00,457.49629882999966,46263.731886990056,4883164.519932803,493803807.1302091,10673.67
2020-09-29 06:00:00,35.052103670000015,110881.05956886019,376434.7064221945,1190783854.2172647,10739.29
2020-09-29 07:00:00,167.22190371,51617.76112057007,1793182.3455867032,553516351.0674875,10723.37
2020-09-29 08:00:00,161.75104299000031,145264.15175647964,1735499.7282090588,1558604453.0635607,10729.45
2020-09-29 09:00:00,217.81451768999995,59682.02344685992,2334224.5258411225,639586582.0099155,10716.57
2020-09-29 10:00:00,62.06677227,99921.45961144009,668350.5204964274,1075979257.4608898,10768.25
2020-09-29 11:00:00,7.936351519999998,34984.013092409834,85372.84120742878,376329675.7975402,10757.19
2020-09-29 12:00:00,214.05729695000005,177475.48807611957,2303558.3359706993,1909886492.1372344,10761.41
2020-09-29 13:00:00,278.8174479800001,127049.89828735996,2999102.6673713513,1366613501.4269705,10756.51
2020-09-29 14:00:00,89.67643978000001,84319.46584212987,965134.6122526699,907480662.373997,10762.41
2020-09-29 15:00:00,165.71772609,84167.57463740982,1776974.6050904607,902520486.0794818,10722.9
2020-09-29 16:00:00,253.91098749999998,89904.4102028398,2714892.4516462497,961284925.2118239,10692.3
2020-09-29 17:00:00,51.265919440000005,110125.53980073957,547327.2597621056,1175726693.0422478,10676.24
2020-09-29 18:00:00,913.3444910000002,80690.09934215977,9796807.0138133,865506212.5738083,10726.3
2020-09-29 19:00:00,9300.073812870005,164709.96317291982,99852567.51033202,1768449697.0968468,10736.75
2020-09-29 20:00:00,5133.367937289998,217804.92563417047,55215994.21019304,2342772943.5495715,10756.29
2020-09-29 21:00:00,184.28095321,104119.07401048989,1984788.792500645,1121409280.6762807,10770.45
2020-09-29 22:00:00,280.1374707400001,73789.86793976979,3016273.76395407,794504362.891654,10767.12
2020-09-29 23:00:00,950.4295363499999,75771.66292028988,10303349.987595534,821420139.3698739,10840.73
2020-09-30 00:00:00,45.720452699999996,45070.86892605946,494238.5508915269,487216543.79939204,10810.01
2020-09-30 01:00:00,139.12254433000004,54465.438799319774,1501452.2351726596,587807355.1538987,10792.3
2020-09-30 02:00:00,116.56181222999997,119822.47731255,1255849.7867653652,1290980551.0379179,10774.11
2020-09-30 03:00:00,118.13315307999997,48439.53620490002,1268731.1627747067,520232868.5148334,10739.84
2020-09-30 04:00:00,381.21335049000004,67012.55590617986,4097643.2437494863,720314612.807732,10748.95
2020-09-30 05:00:00,15540.5401348,153958.5507178198,166252853.7674918,1647050115.1647437,10698.01
2020-09-30 06:00:00,187.35726160000007,78125.77285325994,2007203.3092635844,836980154.7624586,10713.24
2020-09-30 07:00:00,4.458375909999999,37502.784705589904,47683.08828135469,401098657.89968395,10695.17
2020-09-30 08:00:00,203.37967106,84059.91371503971,2176939.390685449,899762185.6213163,10703.82
2020-09-30 09:00:00,132.84277743999996,82538.21776259957,1420337.7068274124,882487894.3494054,10691.87
2020-09-30 10:00:00,141.51915752999997,124154.83469825918,1517279.2499674158,1331109920.0888753,10721.37
2020-09-30 11:00:00,52.96016677999999,157588.82573319983,565395.8557215985,1682397816.9802964,10675.87
